Alliance
D2 Hustlers
Entity
Gaimin Gladiators
Into The Breach
IVY
Level UP
Monaspa
Nigma Galaxy
OG
Ooredoo Thunders
Team Bald Reborn
Team Liquid
Team Secret
Tundra Esports
(monkey) Business
4 Anchors + SC
4 Clover & Lepricon
4 Friends + Chrillee
4 protect five
4 Vikings + Dane
5 Anchors No Captain
5Jungz
5men
Aachen City Esports
Absolute Legends
Ad Finem
Aftershock Gaming
Aggressive Mode
ALTERNATE aTTaX
Avengers
B)ears
Balkan Bears
Basically Unknown
BlinkPool
Brame
BrooDMotherS
Burden United
Bursaspor Esports
Cede Nullis
Chicken Fighters
CHILLAX
COOKISS
Coolguys
Copenhagen Wolves
Counter Logic Gaming
Creepwave
Crescendo
Czech Republic
Danish Bears
DD.Dota
Denial eSports
Dwayne The John Rockson
E-LAB
Elements One
Elements Pro
Epidemic!
Escape Gaming
eSuba
Fiskestanga
Flipsid3 Tactics
Fureur
GameOnline
Ghost Frogs
Godsent
Going in
Golden Boys
GOOMBA Gaming
goonsquad
Gplay
H2k Gaming
HAPPY GUYS
hehe united
Hellbear Smashers
Helsinki REDS
High Coast Esports
Hippomaniacs
Horde
House of Gamers
HWA Gaming
IKEA
Imaginary Gaming
iNfernity Gaming
January 25th
Kaipi
Keita Gaming
Kingdra
KomandaMinus
LAJONS
Lemondogs
Let's Do It
Lianghao
Lions Pride
London Conspiracy
LowLandLions
Mad Lads
Mamas Boys
Meet Your Makers
Memento Mori
MidOrFeed
Monkey Freedom Fighters
Monomaniac
mousesports
Mortal Teamwork
mudgolems
mYinsanity
Ninjas in Pyjamas
No Bounty Hunter
No Diggity
No Logic Gaming
No Tidehunter
OG Seed
PENTA Sports
Planet Dog
Prodota Gaming
Pulse eSports
QPAD Red Pandas
Quantic Gaming
RAGE.eSports
rat in the dark
Reason Gaming
Rocket Scientists
Sanguine Sharks
Sigma.int
SK Gaming
Skånes Elit
SOLIDUDES
Speed Gaming.int
Spider Pigzs
sQreen's Squad
STARK
Steak Gaming
Storm Games Clan
Super Strong Dinosaurs
Svenhunterz
Taco Life
TCM-Gaming
Team aAa
Team Bad English
Team Coast
Team Defiance
Team Dog
Team Doge
GamersLeague
Team Infused
Team Kinguin
Team Life
Team Lithium
Team Menace.fi
Team ONE
Team Property
Team Shakira
Team Singularity
Team Tickles
Team Toast
Team World
Team Zero
Tempo Esports
The Final Tribe
The GD B-Team
The Imperial
The Tough Bananas
tRICKED eSport
Tuho
Turtle Masters
Unchained Esports
Valkyrie eSports
Vikin.gg
WARMAKER
We haz Asian
Western Wolves
Wild Honey Badgers
XtremeXPC
youBoat
Zero Respect
