Alliance.LATAM
Balrogs
beastcoast
Dreamers Esports
Evil Geniuses
Infamous
Infinity
Keyd Stars
Lava
Mad Kings
No Runes
Qhali
Ravens
Thunder Awaken
Vicious Gaming
Artyk Gaming
Braxstone
Butterfly Effec
CDM eSports
CNB e-Sports Club
Cream Esports
Crewmates
Demolition Boys
Digital Chaos.SA
eGamersX
EgoBoys
Elite Wolves
FURIA Esports
G3nerationX
Gorillaz-Pride
Havan Liberty
Hokori
Incubus Club
Infamous Young
Infamous.Black
Insight eSports
Interitus
INTZ eSports
Inverse
Isurus Gaming
APU King of Kings
Kingao+4
Latam Defenders
Luccini
Majestic esports
Midas Club
Midas Club Victory
Nex Impetus
NoPing e-sports
Not Today
Omega Gaming
Pacific eSports
paiN Gaming
paiN X
Pichau
Playmakers Esports
Revenge eSports
Sacred
Sector V
semXorah
SG esports
Slayers of Gods
STARS e-Sports
Swagenteiger
T Show.Rising
Team Anvorgesa
Team Brasil
Team DileCom
Tempest
The House is Down
Torus Gaming
Union Gaming
Union Gaming BO
Unknown Team
VINCE TE IPSUM
Vultur
Wolf Team
WP Gaming
