World Cyber Arena 2014,Newbee,Cloud9
i-League Season 1,Vici Gaming,Old Boys
World E-sport Championships 2014,Evil Geniuses,Cloud9
The International 2014,Newbee,Vici Gaming
ESL One Frankfurt 2014,Invictus Gaming,Evil Geniuses
Dota 2 Champions League Season 3,Team Empire,Fnatic
HyperX D2L Western Challenge,Evil Geniuses,Natus Vincere
DreamLeague Season 1,Alliance,Cloud9
The Summit,Evil Geniuses,Team DK
WPC 2014,Invictus Gaming,Team DK
MarsTV Dota 2 League 2014,Newbee,PSG.LGD
Excellent Moscow Cup,Team Empire,Power Rangers
StarLadder StarSeries Season 9,Team DK,Team Empire
Dota 2 Champions League Season 2,Natus Vincere,Cloud9
Nexon Sponsorship League Season 3,Zephyr,EoT Hammer 
G-League 2013,Team DK,Invictus Gaming
StarLadder StarSeries Season 8,Natus Vincere,Alliance
Dota 2 Champions League Season 1,Alliance,Speed Gaming.int
Dota 2 League Season 4,PSG.LGD,Fnatic
Red Bull ECL 2013 Grand Finals,Invictus Gaming,Team DK
2013 WPC ACE Dota 2 League,Team DK,Invictus Gaming
Nexon Sponsorship League Season 2,MVP Phoenix,5 in QO
RaidCall EMS One Fall Season,Vici Gaming,Fnatic
DreamLeague Kick-Off Season,Natus Vincere,Fnatic
MLG Championship Columbus,Speed Gaming.int,Team DK
Techlabs Cup 2013 Grand Final,Natus Vincere,Team Empire
National Electronic Sports Tournament 2013,PSG.LGD,Invictus Gaming
Nexon Sponsorship League Season 1,StarTale,For Our Utopia
WePlay Dota2 League Season 2,Natus Vincere,Alliance
Electronic Sports World Cup 2013,Team Empire,Evil Geniuses
StarLadder StarSeries Season 7,Natus Vincere,Alliance
The International 2013,Alliance,Natus Vincere
The Defense Season 4,Natus Vincere,Kaipi
The Premier League Season 5,Alliance,Mousesports
RaidCall Dota 2 League Season 3,Natus Vincere,Mousesports
RedBull ECL 2013 Dota 2 Season,PSG.LGD,Orange Esports
RaidCall EMS One Summer Season,Mousesports,Evil Geniuses
Alienware Cup 2013 - Season 1,Natus Vincere,PSG.LGD
StarLadder StarSeries Season 6,Alliance,iCCup
Dota 2 Super League,TongFu,Team DK
DreamHack Summer 2013,Alliance,Quantic Gaming
G-1 Champions League Season 5,Alliance,PSG.LGD
The Premier League Season 4,Alliance,Team Liquid
RaidCall EMS One Spring Season,Natus Vincere,RoX
RaidCall Dota 2 League Season 2,Team Liquid,Team Dignitas
StarLadder StarSeries Season 5,No Tidehunter,Fnc.EU
The Defense Season 3,Virtus.pro,Fnc.EU
G-League Season 2,Invictus Gaming,LGD.int
The Premier League Season 3,Team Empire,Virtus.pro
The Asia 2012,PSG.LGD,MUFC
StarLadder StarSeries Season 4,Natus Vincere,Team Empire
ASUS Open 2012 Finals,Team Empire,Virtus.pro
Thor Open 2012,Fnc.EU,No Tidehunter
World Cyber Games 2012,Invictus Gaming,Team DK
